lat,lon,minlat,maxlat,minlon,maxlon,location,valid,scelte
45.0709201,7.685972,NA,NA,NA,NA,Torino,yes,NO
45.3251557,8.4227666,NA,NA,NA,NA,Vercelli,yes,NO
45.4464036,8.619655,NA,NA,NA,NA,Novara,yes,NO
44.3895619,7.5478699,NA,NA,NA,NA,Cuneo,yes,NO
44.900576,8.2068828,NA,NA,NA,NA,Asti,yes,NO
44.9129225,8.615321,NA,NA,NA,NA,Alessandria,yes,NO
45.5664109,8.0542758,NA,NA,NA,NA,Biella,yes,NO
45.9221715,8.5516789,NA,NA,NA,NA,Verbania,yes,NO
45.7343472,7.3088547,NA,NA,NA,NA,Aosta,yes,NO
43.8833265,8.0222474,NA,NA,NA,NA,Imperia,yes,NO
44.3078775,8.4810276,NA,NA,NA,NA,Savona,yes,NO
44.40726,8.9338624,NA,NA,NA,NA,Genova,yes,SI
44.107033,9.8282255,NA,NA,NA,NA,La Spezia,yes,NO
45.8183902,8.823913,NA,NA,NA,NA,Varese,yes,NO
45.8106805,9.863028,NA,NA,NA,NA,Como,no,NO
46.1709447,9.8767107,NA,NA,NA,NA,Sondrio,yes,NO
45.4666211,9.1906166,NA,NA,NA,NA,Milano,yes,SI
45.6945115,9.669839,NA,NA,NA,NA,Bergamo,yes,NO
45.5398347,10.2195335,NA,NA,NA,NA,Brescia,yes,NO
45.1860043,9.1546375,NA,NA,NA,NA,Pavia,yes,NO
45.1346168,10.0251103,NA,NA,NA,NA,Cremona,yes,NO
45.1613638,10.799208,NA,NA,NA,NA,Mantova,yes,NO
45.855682,9.402845,NA,NA,NA,NA,Lecco,yes,NO
45.3138233,9.5024266,NA,NA,NA,NA,Lodi,yes,NO
45.5835206,9.2734426,NA,NA,NA,NA,Monza,yes,NO
46.4980632,11.3540184,NA,NA,NA,NA,Bolzano,yes,NO
46.0664228,11.1257601,NA,NA,NA,NA,Trento,yes,SI
45.4382967,10.9916792,NA,NA,NA,NA,Verona,yes,NO
45.5491217,11.5496686,NA,NA,NA,NA,Vicenza,yes,NO
46.1375185,12.2181711,NA,NA,NA,NA,Belluno,yes,NO
45.6660842,12.2417066,NA,NA,NA,NA,Treviso,yes,NO
45.4384143,12.318564,NA,NA,NA,NA,Venezia,yes,NO
45.4098919,11.8829915,NA,NA,NA,NA,Padova,yes,NO
45.0698166,11.78882,NA,NA,NA,NA,Rovigo,yes,SI
46.0650933,13.2376674,NA,NA,NA,NA,Udine,yes,NO
45.9441468,13.6244204,NA,NA,NA,NA,Gorizia,yes,NO
45.6300555,13.7879014,NA,NA,NA,NA,Trieste,yes,NO
45.9585884,12.6583314,NA,NA,NA,NA,Pordenone,yes,NO
45.0467651,9.6993659,NA,NA,NA,NA,Piacenza,yes,NO
44.8011232,10.3285084,NA,NA,NA,NA,Parma,yes,NO
44.6978446,10.6304958,NA,NA,NA,NA,Reggio nell'Emilia,yes,NO
44.64591,10.9255405,NA,NA,NA,NA,Modena,yes,SI
44.4936714,11.3430347,NA,NA,NA,NA,Bologna,yes,NO
44.8367971,11.6198107,NA,NA,NA,NA,Ferrara,yes,NO
44.4161414,12.2017617,NA,NA,NA,NA,Ravenna,yes,NO
44.2226017,12.0409384,NA,NA,NA,NA,Forli,yes,NO
44.0587517,12.5631537,NA,NA,NA,NA,Rimini,yes,NO
44.0366034,10.1409467,NA,NA,NA,NA,Massa,yes,NO
43.8428381,10.502876,NA,NA,NA,NA,Lucca,yes,NO
43.9335839,10.917443,NA,NA,NA,NA,Pistoia,yes,SI
43.7698712,11.2555757,NA,NA,NA,NA,Firenze,yes,SI
43.5426309,10.3160295,NA,NA,NA,NA,Livorno,yes,NO
43.715925,10.4018984,NA,NA,NA,NA,Pisa,yes,NO
43.4641001,11.86047047,NA,NA,NA,NA,Arezzo,yes,NO
43.3185536,11.3316533,NA,NA,NA,NA,Siena,yes,NO
42.7597261,11.1137389,NA,NA,NA,NA,Grosseto,yes,NO
43.880598,11.0969262,NA,NA,NA,NA,Prato,yes,NO
43.1119613,12.3890104,NA,NA,NA,NA,Perugia,yes,NO
42.5641417,12.6405466,NA,NA,NA,NA,Terni,yes,NO
43.9098114,12.9131228,NA,NA,NA,NA,Pesaro,yes,NO
43.6170137,13.5170982,NA,NA,NA,NA,Ancona,yes,NO
43.3007043,13.4535864,NA,NA,NA,NA,Macerata,yes,NO
42.8546936,13.5863341,NA,NA,NA,NA,Ascoli Piceno,yes,NO
43.1604184,13.7161408,NA,NA,NA,NA,Fermo,yes,NO
42.4164974,12.1039438,NA,NA,NA,NA,Viterbo,yes,NO
42.4016906,12.8629993,NA,NA,NA,NA,Rieti,yes,NO
41.8932575,12.4830619,NA,NA,NA,NA,Roma,yes,NO
41.4672589,12.9035737,NA,NA,NA,NA,Latina,yes,NO
41.6419807,13.3469287,NA,NA,NA,NA,Frosinone,yes,NO
42.350164,13.391926,NA,NA,NA,NA,L'Aquila,yes,NO
42.6626986,13.701496,NA,NA,NA,NA,Teramo,yes,NO
42.4643778,14.2139431,NA,NA,NA,NA,Pescara,yes,NO
42.3446529,14.1659738,NA,NA,NA,NA,Chieti,yes,NO
41.560027,14.66753,NA,NA,NA,NA,Campobasso,yes,NO
41.600225,14.23822,NA,NA,NA,NA,Isernia,yes,NO
41.083215,14.3349289,NA,NA,NA,NA,Caserta,yes,NO
41.1295587,14.7824639,NA,NA,NA,NA,Benevento,yes,NO
40.8506962,14.2463172,NA,NA,NA,NA,Napoli,yes,NO
40.9141958,14.7888764,NA,NA,NA,NA,Avellino,yes,NO
40.6779781,14.7657547,NA,NA,NA,NA,Salerno,yes,NO
41.4626384,15.5460328,NA,NA,NA,NA,Foggia,yes,NO
41.1256631,16.8619381,NA,NA,NA,NA,Bari,yes,NO
40.4712677,17.243176,NA,NA,NA,NA,Taranto,yes,NO
40.6327065,17.941611,NA,NA,NA,NA,Brindisi,yes,NO
40.3570373,18.1718482,NA,NA,NA,NA,Lecce,yes,NO
41.227674,16.2947553,NA,NA,NA,NA,Andria,yes,NO
41.3204181,16.288259,NA,NA,NA,NA,Barletta,yes,NO
41.275088,16.4162585,NA,NA,NA,NA,Trani,yes,NO
40.644317,15.808567,NA,NA,NA,NA,Potenza,yes,NO
40.668523,16.601585,NA,NA,NA,NA,Matera,yes,SI
39.3099931,16.2501929,NA,NA,NA,NA,Cosenza,yes,NO
38.9076353,16.5960465,NA,NA,NA,NA,Catanzaro,yes,NO
38.1104608,15.6614235,NA,NA,NA,NA,Reggio di Calabria,yes,NO
39.0806223,17.127196,NA,NA,NA,NA,Crotone,yes,NO
38.67428,16.095097,NA,NA,NA,NA,Vibo Valentia,yes,NO
38.0160543,12.5437475,NA,NA,NA,NA,Trapani,yes,NO
38.111051,13.335745,NA,NA,NA,NA,Palermo,yes,SI
38.1937571,15.5542082,NA,NA,NA,NA,Messina,yes,NO
37.316522,13.5896537,NA,NA,NA,NA,Agrigento,yes,NO
37.4898289,14.0632916,NA,NA,NA,NA,Caltanissetta,yes,NO
37.5659619,14.2824038,NA,NA,NA,NA,Enna,yes,NO
37.5028972,15.0870338,NA,NA,NA,NA,Catania,yes,NO
36.92824,14.7171868,NA,NA,NA,NA,Ragusa,yes,NO
37.0714375,15.283007,NA,NA,NA,NA,Siracusa,yes,NO
40.7232643,8.5610074,NA,NA,NA,NA,Sassari,yes,NO
40.3210601,9.3297339,NA,NA,NA,NA,Nuoro,yes,NO
39.2225376,9.1169358,NA,NA,NA,NA,Cagliari,yes,NO
39.9051653,8.5964364,NA,NA,NA,NA,Oristano,yes,NO
40.9240543,9.4994397,NA,NA,NA,NA,Olbia,yes,NO
40.8973821,9.1035159,NA,NA,NA,NA,Tempio Pausania,yes,NO
39.8785705,9.5410772,NA,NA,NA,NA,Lanusei,yes,NO
39.9266045,9.6591551,NA,NA,NA,NA,Tortola,yes,NO
39.562642,8.898636,NA,NA,NA,NA,Sanluri,yes,NO
39.4450577,8.745153453,NA,NA,NA,NA,Villacidro,yes,NO
39.2069694,8.517104362,NA,NA,NA,NA,Carbonia,yes,NO
39.3125402,8.5341109,NA,NA,NA,NA,Iglesias,yes,NO
